source_row,date,team1,team2,shots1,shots2,sot1,sot2
4,11/06/2026,Mexico,South Africa,16,3,4,2
5,12/06/2026,South Korea,Czech Republic,15,7,6,4
6,12/06/2026,Canada,Bosnia & Herzegovina,13,8,4,3
7,13/06/2026,USA,Paraguay,16,9,6,1
8,13/06/2026,Qatar,Switzerland,6,26,3,7
9,13/06/2026,Brazil,Morocco,12,14,5,3
10,14/06/2026,Haiti,Scotland,15,9,2,2
11,14/06/2026,Australia,Turkey,9,30,4,8
12,14/06/2026,Germany,Curacao,26,8,12,2
13,14/06/2026,Netherlands,Japan,10,10,6,3
14,15/06/2026,Ivory Coast,Ecuador,15,12,4,1
15,15/06/2026,Sweden,Tunisia,13,6,7,2
16,15/06/2026,Spain,Cape Verde,27,6,7,1
17,15/06/2026,Belgium,Egypt,15,14,3,3
18,15/06/2026,Saudi Arabia,Uruguay,7,27,3,10
19,16/06/2026,Iran,New Zealand,17,14,4,8
20,16/06/2026,France,Senegal,11,6,8,2
21,16/06/2026,Iraq,Norway,11,12,1,5
22,17/06/2026,Argentina,Algeria,10,7,6,0
23,17/06/2026,Austria,Jordan,11,11,4,4
24,17/06/2026,Portugal,D.R. Congo,7,8,1,2
25,17/06/2026,England,Croatia,22,10,11,5
26,18/06/2026,Ghana,Panama,8,11,2,4
27,18/06/2026,Uzbekistan,Colombia,8,15,2,4
28,18/06/2026,Czech Republic,South Africa,14,17,3,4
29,18/06/2026,Switzerland,Bosnia & Herzegovina,13,5,7,3
30,18/06/2026,Canada,Qatar,32,2,10,0
31,19/06/2026,Mexico,South Korea,8,9,4,2
32,19/06/2026,USA,Australia,10,5,2,2
33,19/06/2026,Scotland,Morocco,6,12,0,2
34,20/06/2026,Brazil,Haiti,8,7,5,3
35,20/06/2026,Turkey,Paraguay,32,7,5,2
36,20/06/2026,Netherlands,Sweden,10,16,7,8
37,20/06/2026,Germany,Ivory Coast,16,9,7,2
38,21/06/2026,Ecuador,Curacao,27,10,15,3
39,21/06/2026,Tunisia,Japan,2,11,0,5
40,21/06/2026,Spain,Saudi Arabia,22,3,8,1
41,21/06/2026,Belgium,Iran,23,7,7,3
42,21/06/2026,Uruguay,Cape Verde,17,12,2,4
43,22/06/2026,New Zealand,Egypt,11,19,5,7
44,22/06/2026,Argentina,Austria,12,6,5,1
45,22/06/2026,France,Iraq,19,4,5,0
46,23/06/2026,Norway,Senegal,13,16,7,4
47,23/06/2026,Jordan,Algeria,8,17,4,8
48,23/06/2026,Portugal,Uzbekistan,17,7,9,2
49,23/06/2026,England,Ghana,19,2,3,1
50,24/06/2026,Panama,Croatia,8,6,1,2
51,24/06/2026,Colombia,D.R. Congo,20,7,9,1
52,24/06/2026,Bosnia & Herzegovina,Qatar,14,9,5,3
53,24/06/2026,Switzerland,Canada,6,13,4,7
54,24/06/2026,Morocco,Haiti,22,9,11,2
55,24/06/2026,Scotland,Brazil,14,21,5,9
56,25/06/2026,Czech Republic,Mexico,13,11,1,5
57,25/06/2026,South Africa,South Korea,13,8,4,3
58,25/06/2026,Curacao,Ivory Coast,11,7,2,3
59,25/06/2026,Ecuador,Germany,7,11,3,3
60,26/06/2026,Japan,Sweden,8,11,3,5
61,26/06/2026,Tunisia,Netherlands,10,20,4,7
62,26/06/2026,Paraguay,Australia,7,12,2,5
63,26/06/2026,Turkey,USA,9,18,3,7
64,26/06/2026,Norway,France,10,18,4,9
65,26/06/2026,Senegal,Iraq,28,6,12,1
66,27/06/2026,Cape Verde,Saudi Arabia,15,7,2,3
67,27/06/2026,Uruguay,Spain,5,6,1,1
68,27/06/2026,Egypt,Iran,15,13,3,4
69,27/06/2026,New Zealand,Belgium,6,35,2,10
70,27/06/2026,Croatia,Ghana,8,6,4,1
71,27/06/2026,Panama,England,13,17,2,6
72,28/06/2026,Colombia,Portugal,24,13,6,2
73,28/06/2026,D.R. Congo,Uzbekistan,19,3,4,1
74,28/06/2026,Algeria,Austria,12,10,5,3
75,28/06/2026,Jordan,Argentina,5,12,1,4
