source_row,date,team,opponent,listed_side,goals_for,goals_against,yellow_cards,red_cards,shots,shots_on_target,qualified,group
0,11/06/2026,Mexico,South Africa,1,2,0,1.0,1,16,4,True,Qualified
1,12/06/2026,Czech Republic,South Korea,2,1,2,0.0,0,7,4,False,Eliminated
2,12/06/2026,Canada,Bosnia & Herzegovina,1,1,1,2.0,0,13,4,True,Qualified
2,12/06/2026,Bosnia & Herzegovina,Canada,2,1,1,3.0,0,8,3,True,Qualified
3,13/06/2026,USA,Paraguay,1,4,1,1.0,0,16,6,True,Qualified
4,13/06/2026,Qatar,Switzerland,1,1,1,2.0,0,6,3,False,Eliminated
4,13/06/2026,Switzerland,Qatar,2,1,1,1.0,0,26,7,True,Qualified
5,13/06/2026,Brazil,Morocco,1,1,1,2.0,0,12,5,True,Qualified
5,13/06/2026,Morocco,Brazil,2,1,1,0.0,0,14,3,True,Qualified
6,14/06/2026,Scotland,Haiti,2,1,0,3.0,0,9,2,False,Eliminated
7,14/06/2026,Australia,Turkey,1,2,0,0.0,0,9,4,True,Qualified
8,14/06/2026,Curacao,Germany,2,1,7,0.0,0,8,2,False,Eliminated
9,14/06/2026,Netherlands,Japan,1,2,2,3.0,0,10,6,True,Qualified
10,15/06/2026,Ivory Coast,Ecuador,1,1,0,3.0,0,15,4,True,Qualified
10,15/06/2026,Ecuador,Ivory Coast,2,0,1,1.0,0,12,1,True,Qualified
11,15/06/2026,Sweden,Tunisia,1,5,1,0.0,0,13,7,True,Qualified
12,15/06/2026,Spain,Cape Verde,1,0,0,1.0,0,27,7,True,Qualified
12,15/06/2026,Cape Verde,Spain,2,0,0,1.0,0,6,1,True,Qualified
13,15/06/2026,Egypt,Belgium,2,1,1,2.0,0,14,3,True,Qualified
14,15/06/2026,Saudi Arabia,Uruguay,1,1,1,1.0,0,7,3,False,Eliminated
15,16/06/2026,Iran,New Zealand,1,2,2,1.0,0,17,4,False,Eliminated
15,16/06/2026,New Zealand,Iran,2,2,2,0.0,0,14,8,False,Eliminated
16,16/06/2026,France,Senegal,1,3,1,0.0,0,11,8,True,Qualified
17,16/06/2026,Norway,Iraq,2,4,1,0.0,0,12,5,True,Qualified
18,17/06/2026,Argentina,Algeria,1,3,0,0.0,0,10,6,True,Qualified
18,17/06/2026,Algeria,Argentina,2,0,3,0.0,0,7,0,True,Qualified
19,17/06/2026,Jordan,Austria,2,1,3,0.0,0,11,4,False,Eliminated
20,17/06/2026,Portugal,D.R. Congo,1,1,1,3.0,0,7,1,True,Qualified
20,17/06/2026,D.R. Congo,Portugal,2,1,1,1.0,0,8,2,True,Qualified
21,17/06/2026,England,Croatia,1,4,2,0.0,0,22,11,True,Qualified
21,17/06/2026,Croatia,England,2,2,4,0.0,0,10,5,True,Qualified
22,18/06/2026,Ghana,Panama,1,1,0,1.0,0,8,2,True,Qualified
23,18/06/2026,Uzbekistan,Colombia,1,1,3,1.0,0,8,2,False,Eliminated
24,18/06/2026,Czech Republic,South Africa,1,1,1,1.0,0,14,3,False,Eliminated
25,18/06/2026,Bosnia & Herzegovina,Switzerland,2,1,4,2.0,1,5,3,True,Qualified
26,18/06/2026,Canada,Qatar,1,6,0,1.0,0,32,10,True,Qualified
27,19/06/2026,South Korea,Mexico,2,0,1,2.0,0,9,2,False,Eliminated
28,19/06/2026,USA,Australia,1,2,0,3.0,0,10,2,True,Qualified
29,19/06/2026,Scotland,Morocco,1,0,1,1.0,0,6,0,False,Eliminated
29,19/06/2026,Morocco,Scotland,2,1,0,1.0,0,12,2,True,Qualified
30,20/06/2026,Brazil,Haiti,1,3,0,1.0,0,8,5,True,Qualified
30,20/06/2026,Haiti,Brazil,2,0,3,3.0,0,7,3,False,Eliminated
31,20/06/2026,Turkey,Paraguay,1,0,1,1.0,0,32,5,False,Eliminated
31,20/06/2026,Paraguay,Turkey,2,1,0,1.0,1,7,2,True,Qualified
32,20/06/2026,Netherlands,Sweden,1,5,1,0.0,0,10,7,True,Qualified
33,20/06/2026,Germany,Ivory Coast,1,2,1,0.0,0,16,7,True,Qualified
33,20/06/2026,Ivory Coast,Germany,2,1,2,0.0,0,9,2,True,Qualified
34,21/06/2026,Curacao,Ecuador,2,0,0,5.0,0,10,3,False,Eliminated
35,21/06/2026,Tunisia,Japan,1,0,4,0.0,0,2,0,False,Eliminated
35,21/06/2026,Japan,Tunisia,2,4,0,0.0,0,11,5,True,Qualified
36,21/06/2026,Saudi Arabia,Spain,2,0,4,2.0,0,3,1,False,Eliminated
37,21/06/2026,Iran,Belgium,2,0,0,1.0,0,7,3,False,Eliminated
38,21/06/2026,Uruguay,Cape Verde,1,2,2,2.0,0,17,2,False,Eliminated
38,21/06/2026,Cape Verde,Uruguay,2,2,2,2.0,0,12,4,True,Qualified
40,22/06/2026,Argentina,Austria,1,2,0,2.0,0,12,5,True,Qualified
40,22/06/2026,Austria,Argentina,2,0,2,2.0,0,6,1,True,Qualified
41,22/06/2026,France,Iraq,1,3,0,0.0,0,19,5,True,Qualified
41,22/06/2026,Iraq,France,2,0,3,1.0,0,4,0,False,Eliminated
42,23/06/2026,Norway,Senegal,1,3,2,0.0,0,13,7,True,Qualified
42,23/06/2026,Senegal,Norway,2,2,3,0.0,0,16,4,True,Qualified
43,23/06/2026,Jordan,Algeria,1,1,2,1.0,0,8,4,False,Eliminated
43,23/06/2026,Algeria,Jordan,2,2,1,1.0,0,17,8,True,Qualified
45,23/06/2026,England,Ghana,1,0,0,1.0,0,19,3,True,Qualified
46,24/06/2026,Panama,Croatia,1,0,1,1.0,0,8,1,False,Eliminated
46,24/06/2026,Croatia,Panama,2,1,0,1.0,0,6,2,True,Qualified
47,24/06/2026,Colombia,D.R. Congo,1,1,0,2.0,0,20,9,True,Qualified
48,24/06/2026,Qatar,Bosnia & Herzegovina,2,1,3,1.0,0,9,3,False,Eliminated
49,24/06/2026,Switzerland,Canada,1,2,1,1.0,0,6,4,True,Qualified
51,24/06/2026,Brazil,Scotland,2,3,0,2.0,0,21,9,True,Qualified
52,25/06/2026,Czech Republic,Mexico,1,0,3,0.0,0,13,1,False,Eliminated
53,25/06/2026,South Africa,South Korea,1,1,0,1.0,0,13,4,True,Qualified
53,25/06/2026,South Korea,South Africa,2,0,1,1.0,0,8,3,False,Eliminated
54,25/06/2026,Ivory Coast,Curacao,2,2,0,1.0,0,7,3,True,Qualified
55,25/06/2026,Germany,Ecuador,2,1,2,1.0,0,11,3,True,Qualified
56,26/06/2026,Japan,Sweden,1,1,1,1.0,0,8,3,True,Qualified
56,26/06/2026,Sweden,Japan,2,1,1,2.0,0,11,5,True,Qualified
57,26/06/2026,Tunisia,Netherlands,1,1,3,0.0,0,10,4,False,Eliminated
57,26/06/2026,Netherlands,Tunisia,2,3,1,0.0,0,20,7,True,Qualified
58,26/06/2026,Paraguay,Australia,1,0,0,1.0,0,7,2,True,Qualified
58,26/06/2026,Australia,Paraguay,2,0,0,1.0,0,12,5,True,Qualified
59,26/06/2026,Turkey,USA,1,3,2,0.0,0,9,3,False,Eliminated
59,26/06/2026,USA,Turkey,2,2,3,1.0,0,18,7,True,Qualified
60,26/06/2026,France,Norway,2,4,1,1.0,0,18,9,True,Qualified
61,26/06/2026,Senegal,Iraq,1,5,0,2.0,0,28,12,True,Qualified
61,26/06/2026,Iraq,Senegal,2,0,5,2.0,1,6,1,False,Eliminated
62,27/06/2026,Cape Verde,Saudi Arabia,1,0,0,1.0,0,15,2,True,Qualified
62,27/06/2026,Saudi Arabia,Cape Verde,2,0,0,3.0,0,7,3,False,Eliminated
63,27/06/2026,Uruguay,Spain,1,0,1,3.0,1,5,1,False,Eliminated
65,27/06/2026,New Zealand,Belgium,1,1,5,2.0,0,6,2,False,Eliminated
66,27/06/2026,Croatia,Ghana,1,2,1,1.0,0,8,4,True,Qualified
66,27/06/2026,Ghana,Croatia,2,1,2,1.0,0,6,1,True,Qualified
67,27/06/2026,Panama,England,1,0,2,2.0,0,13,2,False,Eliminated
67,27/06/2026,England,Panama,2,2,0,1.0,0,17,6,True,Qualified
68,28/06/2026,Colombia,Portugal,1,0,0,1.0,0,24,6,True,Qualified
68,28/06/2026,Portugal,Colombia,2,0,0,0.0,0,13,2,True,Qualified
69,28/06/2026,D.R. Congo,Uzbekistan,1,3,1,3.0,0,19,4,True,Qualified
70,28/06/2026,Algeria,Austria,1,3,3,0.0,0,12,5,True,Qualified
70,28/06/2026,Austria,Algeria,2,3,3,1.0,0,10,3,True,Qualified
71,28/06/2026,Jordan,Argentina,1,1,3,3.0,0,5,1,False,Eliminated
71,28/06/2026,Argentina,Jordan,2,3,1,0.0,0,12,4,True,Qualified
