team,matches_played,yellow_cards,red_cards,goals_for,goals_against,shots,shots_on_target,qualified,group,yellow_per_match
Curacao,3,7,0,1,9,29,7,False,Eliminated,2.3333333333333335
Czech Republic,3,1,0,2,6,34,8,False,Eliminated,0.3333333333333333
Haiti,3,7,0,2,8,31,7,False,Eliminated,2.3333333333333335
Iran,3,6,0,3,3,37,11,False,Eliminated,2.0
Iraq,3,4,1,1,12,21,2,False,Eliminated,1.3333333333333333
Jordan,3,4,0,3,8,24,9,False,Eliminated,1.3333333333333333
New Zealand,3,4,0,4,10,31,15,False,Eliminated,1.3333333333333333
Panama,3,5,0,0,4,32,7,False,Eliminated,1.6666666666666667
Qatar,3,4,2,2,10,17,6,False,Eliminated,1.3333333333333333
Saudi Arabia,3,6,0,1,5,17,7,False,Eliminated,2.0
Scotland,3,5,0,1,4,29,7,False,Eliminated,1.6666666666666667
South Korea,3,4,0,2,3,32,11,False,Eliminated,1.3333333333333333
Tunisia,3,1,0,2,12,18,6,False,Eliminated,0.3333333333333333
Turkey,3,2,0,3,5,71,16,False,Eliminated,0.6666666666666666
Uruguay,3,5,1,3,4,49,13,False,Eliminated,1.6666666666666667
Uzbekistan,3,4,0,2,11,18,5,False,Eliminated,1.3333333333333333
Algeria,3,1,0,5,7,36,13,True,Qualified,0.3333333333333333
Argentina,3,2,0,8,1,34,15,True,Qualified,0.6666666666666666
Australia,3,5,0,2,2,26,11,True,Qualified,1.6666666666666667
Austria,3,4,0,6,6,27,8,True,Qualified,1.3333333333333333
Belgium,3,3,1,6,2,73,20,True,Qualified,1.0
Bosnia & Herzegovina,3,6,1,5,6,27,11,True,Qualified,2.0
Brazil,3,5,0,7,1,41,19,True,Qualified,1.6666666666666667
Canada,3,5,0,8,3,58,21,True,Qualified,1.6666666666666667
Cape Verde,3,4,0,2,2,33,7,True,Qualified,1.3333333333333333
Colombia,3,4,0,4,1,59,19,True,Qualified,1.3333333333333333
Croatia,3,2,0,5,5,24,11,True,Qualified,0.6666666666666666
D.R. Congo,3,5,0,4,3,34,7,True,Qualified,1.6666666666666667
Ecuador,3,5,0,2,2,46,19,True,Qualified,1.6666666666666667
Egypt,3,6,0,5,3,48,13,True,Qualified,2.0
England,3,2,0,6,2,58,20,True,Qualified,0.6666666666666666
France,3,1,0,10,2,48,22,True,Qualified,0.3333333333333333
Germany,3,1,0,10,4,53,22,True,Qualified,0.3333333333333333
Ghana,3,3,0,2,2,16,4,True,Qualified,1.0
Ivory Coast,3,4,0,4,2,31,9,True,Qualified,1.3333333333333333
Japan,3,1,0,7,3,29,11,True,Qualified,0.3333333333333333
Mexico,3,2,1,6,0,35,13,True,Qualified,0.6666666666666666
Morocco,3,1,0,6,3,48,16,True,Qualified,0.3333333333333333
Netherlands,3,3,0,10,4,40,20,True,Qualified,1.0
Norway,3,1,0,8,7,35,16,True,Qualified,0.3333333333333333
Paraguay,3,7,1,2,4,23,5,True,Qualified,2.3333333333333335
Portugal,3,4,0,6,1,37,12,True,Qualified,1.3333333333333333
Senegal,3,2,0,8,6,50,18,True,Qualified,0.6666666666666666
South Africa,3,5,2,2,3,33,10,True,Qualified,1.6666666666666667
Spain,3,2,0,5,0,55,16,True,Qualified,0.6666666666666666
Sweden,3,5,0,7,7,40,20,True,Qualified,1.6666666666666667
Switzerland,3,3,0,7,3,45,18,True,Qualified,1.0
USA,3,5,0,8,4,44,15,True,Qualified,1.6666666666666667
