source_row,date,team,opponent,listed_side,goals,goals_against,xg,xg_against,finishing,shots,shots_on_target
0,11/06/2026,Mexico,South Africa,1,2,0,1.46,0.07,0.54,16,4
0,11/06/2026,South Africa,Mexico,2,0,2,0.07,1.46,-0.07,3,2
1,12/06/2026,South Korea,Czech Republic,1,2,1,2.3,0.83,-0.3,15,6
1,12/06/2026,Czech Republic,South Korea,2,1,2,0.83,2.3,0.17,7,4
2,12/06/2026,Canada,Bosnia & Herzegovina,1,1,1,1.25,0.98,-0.25,13,4
2,12/06/2026,Bosnia & Herzegovina,Canada,2,1,1,0.98,1.25,0.02,8,3
3,13/06/2026,Paraguay,USA,2,1,4,0.54,1.42,0.46,9,1
4,13/06/2026,Qatar,Switzerland,1,1,1,0.6,3.2,0.4,6,3
5,13/06/2026,Brazil,Morocco,1,1,1,1.26,1.37,-0.26,12,5
5,13/06/2026,Morocco,Brazil,2,1,1,1.37,1.26,-0.37,14,3
6,14/06/2026,Haiti,Scotland,1,0,1,1.05,1.05,-1.05,15,2
6,14/06/2026,Scotland,Haiti,2,1,0,1.05,1.05,-0.05,9,2
7,14/06/2026,Australia,Turkey,1,2,0,1.18,1.36,0.82,9,4
7,14/06/2026,Turkey,Australia,2,0,2,1.36,1.18,-1.36,30,8
8,14/06/2026,Germany,Curacao,1,7,1,4.22,0.41,2.78,26,12
8,14/06/2026,Curacao,Germany,2,1,7,0.41,4.22,0.59,8,2
9,14/06/2026,Netherlands,Japan,1,2,2,0.78,0.59,1.22,10,6
9,14/06/2026,Japan,Netherlands,2,2,2,0.59,0.78,1.41,10,3
10,15/06/2026,Ivory Coast,Ecuador,1,1,0,1.52,1.01,-0.52,15,4
10,15/06/2026,Ecuador,Ivory Coast,2,0,1,1.01,1.52,-1.01,12,1
11,15/06/2026,Sweden,Tunisia,1,5,1,1.33,0.28,3.67,13,7
11,15/06/2026,Tunisia,Sweden,2,1,5,0.28,1.33,0.72,6,2
12,15/06/2026,Spain,Cape Verde,1,0,0,2.1,0.2,-2.1,27,7
13,15/06/2026,Belgium,Egypt,1,1,1,1.35,1.08,-0.35,15,3
13,15/06/2026,Egypt,Belgium,2,1,1,1.08,1.35,-0.08,14,3
14,15/06/2026,Saudi Arabia,Uruguay,1,1,1,0.66,1.72,0.34,7,3
14,15/06/2026,Uruguay,Saudi Arabia,2,1,1,1.72,0.66,-0.72,27,10
16,16/06/2026,France,Senegal,1,3,1,1.79,0.53,1.21,11,8
16,16/06/2026,Senegal,France,2,1,3,0.53,1.79,0.47,6,2
17,16/06/2026,Iraq,Norway,1,1,4,0.8,2.52,0.2,11,1
18,17/06/2026,Algeria,Argentina,2,0,3,0.32,1.26,-0.32,7,0
19,17/06/2026,Austria,Jordan,1,3,1,1.66,0.53,1.34,11,4
19,17/06/2026,Jordan,Austria,2,1,3,0.53,1.66,0.47,11,4
20,17/06/2026,Portugal,D.R. Congo,1,1,1,0.65,0.87,0.35,7,1
20,17/06/2026,D.R. Congo,Portugal,2,1,1,0.87,0.65,0.13,8,2
21,17/06/2026,England,Croatia,1,4,2,3.2,0.7,0.8,22,11
21,17/06/2026,Croatia,England,2,2,4,0.7,3.2,1.3,10,5
22,18/06/2026,Panama,Ghana,2,0,1,0.73,1.31,-0.73,11,4
24,18/06/2026,Czech Republic,South Africa,1,1,1,1.02,1.38,-0.02,14,3
24,18/06/2026,South Africa,Czech Republic,2,1,1,1.38,1.02,-0.38,17,4
25,18/06/2026,Switzerland,Bosnia & Herzegovina,1,4,1,2.06,0.23,1.94,13,7
25,18/06/2026,Bosnia & Herzegovina,Switzerland,2,1,4,0.23,2.06,0.77,5,3
